"subid","expt","trial_type","age_group","trial_num","rt"
"29","2-vs-1","inference","3",5,0.14533
"3","2-vs-1","control-double","2",3,0.20833
"3","2-vs-1","control-single","2",4,0.88066
"3","2-vs-1","inference","2",5,1.82033
"30","2-vs-1","control-single","3",13,0.79633
"30","2-vs-1","control-single","3",16,0.74
"30","2-vs-1","inference","3",2,0.50366
"31","2-vs-1","control-double","2",8,0.876
"31","2-vs-1","control-single","2",4,1.07966
"31","2-vs-1","control-single","2",7,0.637
"31","2-vs-1","inference","2",2,3.087
"31","2-vs-1","inference","2",5,0.198
"31","2-vs-1","inference","2",12,2.28466
"32","2-vs-1","control-single","4",7,0.118
"32","2-vs-1","control-single","4",11,0.464
"32","2-vs-1","inference","4",2,0.32333
"32","2-vs-1","inference","4",15,0.50733
"33","2-vs-1","control-double","2",8,0.44266
"33","2-vs-1","control-double","2",9,0.33633
"33","2-vs-1","control-double","2",14,0.74233
"33","2-vs-1","control-single","2",7,1.72033
"33","2-vs-1","control-single","2",11,0.493
"33","2-vs-1","control-single","2",13,1.213
"33","2-vs-1","inference","2",12,0.468
"34","2-vs-1","control-double","3",3,0.6
"34","2-vs-1","control-double","3",14,0.34266
"34","2-vs-1","control-single","3",10,0.50566
"34","2-vs-1","control-single","3",13,1.45933
"34","2-vs-1","inference","3",5,1.27866
"34","2-vs-1","inference","3",15,2.28233
"35","2-vs-1","control-double","4",8,0.31766
"35","2-vs-1","control-single","4",4,0.50466
"35","2-vs-1","inference","4",12,1.95133
"35","2-vs-1","inference","4",15,3.331
"36","2-vs-1","control-single","3",1,1.14133
"36","2-vs-1","control-single","3",4,0.264
"36","2-vs-1","control-single","3",6,0.41633
"36","2-vs-1","control-single","3",7,0.28466
"36","2-vs-1","control-single","3",10,0.27233
"36","2-vs-1","inference","3",2,0.50666
"37","2-vs-1","control-double","2",3,1.29166
"37","2-vs-1","control-single","2",10,1.37233
"37","2-vs-1","control-single","2",16,1.13966
"37","2-vs-1","inference","2",5,1.587
"38","2-vs-1","control-single","4",1,0.551
"38","2-vs-1","inference","4",2,0.187
"39","2-vs-1","control-double","4",8,0.39266
"39","2-vs-1","control-single","4",7,0.32866
"39","2-vs-1","control-single","4",10,0.313
"39","2-vs-1","control-single","4",11,1.35966
"39","2-vs-1","control-single","4",13,0.788
"39","2-vs-1","control-single","4",16,0.14
"39","2-vs-1","inference","4",2,0.97866
"39","2-vs-1","inference","4",5,0.26466
"4","2-vs-1","inference","3",12,0.83133
"4","2-vs-1","inference","3",15,0.50733
"40","2-vs-1","control-single","4",4,0.55566
"40","2-vs-1","control-single","4",10,0.57233
"40","2-vs-1","control-single","4",13,0.35933
"40","2-vs-1","inference","4",5,1.237
"40","2-vs-1","inference","4",12,0.798
"41","2-vs-1","control-double","3",14,0.459
"41","2-vs-1","control-single","3",7,0.562
"42","2-vs-1","control-double","4",9,0.952
"42","2-vs-1","control-double","4",14,0.176
"42","2-vs-1","control-single","4",4,0.65566
"42","2-vs-1","control-single","4",7,0.50966
"42","2-vs-1","control-single","4",10,0.32233
"43","2-vs-1","control-double","3",3,0.91666
"43","2-vs-1","control-single","3",1,1.39133
"43","2-vs-1","control-single","3",7,0.53466
"43","2-vs-1","control-single","3",10,1.214
"43","2-vs-1","control-single","3",16,0.50633
"43","2-vs-1","inference","3",2,0.65666
"43","2-vs-1","inference","3",5,1.37866
"43","2-vs-1","inference","3",15,1.33233
"44","2-vs-1","control-single","5",1,0.46766
"44","2-vs-1","control-single","5",7,0.47033
"44","2-vs-1","control-single","5",10,0.988
"44","2-vs-1","control-single","5",16,0.54833
"44","2-vs-1","inference","5",12,0.50133
"45","2-vs-1","control-double","2",8,0.45933
"45","2-vs-1","control-single","2",4,0.47133
"45","2-vs-1","control-single","2",7,0.17033
"45","2-vs-1","control-single","2",10,0.163
"45","2-vs-1","control-single","2",13,0.79633
"45","2-vs-1","inference","2",2,1.362
"45","2-vs-1","inference","2",12,1.143
"45","2-vs-1","inference","2",15,0.89766
"46","2-vs-1","control-single","4",1,0.51766
"47","2-vs-1","control-single","4",4,0.714
"47","2-vs-1","control-single","4",10,0.49733
"47","2-vs-1","control-single","4",11,0.664
"48","2-vs-1","control-single","3",4,0.79633
"48","2-vs-1","inference","3",5,2.298
"49","2-vs-1","control-single","4",1,0.758
"49","2-vs-1","control-single","4",7,0.58466
"49","2-vs-1","control-single","4",13,0.65933
"49","2-vs-1","inference","4",2,2.465
"49","2-vs-1","inference","4",5,1.212
"49","2-vs-1","inference","4",15,2.33233
"5","2-vs-1","control-double","4",9,0.03633
"5","2-vs-1","control-single","4",1,1.33433
"5","2-vs-1","control-single","4",4,0.37966
"5","2-vs-1","control-single","4",11,0.05133
"5","2-vs-1","inference","4",2,0.39533
"5","2-vs-1","inference","4",5,0.30633
"5","2-vs-1","inference","4",12,0.90966
"5","2-vs-1","inference","4",15,1.09766
"50","2-vs-1","control-single","3",1,0.61766
"50","2-vs-1","control-single","3",7,0.65366
"50","2-vs-1","control-single","3",11,0.318
"50","2-vs-1","control-single","3",13,0.42966
"50","2-vs-1","inference","3",5,1.398
"50","2-vs-1","inference","3",15,0.61433
"51","2-vs-1","control-single","2",7,2.693
"51","2-vs-1","control-single","2",10,0.62233
"51","2-vs-1","control-single","2",11,0.42233
"51","2-vs-1","inference","2",2,1.12333
"51","2-vs-1","inference","2",5,2.062
"52","2-vs-1","control-double","3",8,0.426
"52","2-vs-1","inference","3",2,0.437
"53","2-vs-1","control-double","5",8,0.38433
"53","2-vs-1","control-single","5",10,0.07133
"53","2-vs-1","control-single","5",13,0.52966
"53","2-vs-1","inference","5",2,1.012
"53","2-vs-1","inference","5",12,0.60966
"54","2-vs-1","control-double","2",8,1.08433
"54","2-vs-1","control-single","2",10,0.038
"54","2-vs-1","inference","2",12,1.38466
"54","2-vs-1","inference","2",15,1.13933
"55","2-vs-1","control-double","3",8,0.39266
"55","2-vs-1","control-double","3",14,0.71733
"55","2-vs-1","control-single","3",7,0.712
"55","2-vs-1","control-single","3",10,0.62133
"55","2-vs-1","control-single","3",11,1.00966
"55","2-vs-1","inference","3",2,2.25366
"55","2-vs-1","inference","3",12,0.25966
"56","2-vs-1","control-double","4",3,0.60833
"56","2-vs-1","control-single","4",7,0.543
"56","2-vs-1","inference","4",5,0.462
"56","2-vs-1","inference","4",15,1.35733
"57","2-vs-1","control-double","adult",8,0.04266
"57","2-vs-1","control-double","adult",9,0.628
"57","2-vs-1","control-double","adult",14,0.584
"57","2-vs-1","control-double","adult",18,0.25566
"57","2-vs-1","control-double","adult",24,0.308
"57","2-vs-1","control-single","adult",7,0.57866
"57","2-vs-1","control-single","adult",13,0.67966
"57","2-vs-1","control-single","adult",20,0.17033
"57","2-vs-1","inference","adult",2,0.45366
"57","2-vs-1","inference","adult",5,0.523
"57","2-vs-1","inference","adult",23,0.809
"58","2-vs-1","control-single","3",7,1.03466
"58","2-vs-1","control-single","3",10,0.539
"58","2-vs-1","inference","3",2,0.92333
"58","2-vs-1","inference","3",12,1.58966
"59","2-vs-1","control-double","3",14,0.46733
"59","2-vs-1","control-single","3",4,0.42133
"59","2-vs-1","control-single","3",10,0.22966
"59","2-vs-1","control-single","3",11,0.57633
"59","2-vs-1","control-single","3",13,0.42133
"59","2-vs-1","control-single","3",16,0.74833
"59","2-vs-1","inference","3",5,0.248
"59","2-vs-1","inference","3",15,0.82266
"6","2-vs-1","control-double","2",9,0.127
"6","2-vs-1","control-single","2",10,1.34733
"6","2-vs-1","inference","2",15,0.149
"60","2-vs-1","control-double","3",14,0.19266
"60","2-vs-1","control-single","3",1,0.72466
"60","2-vs-1","control-single","3",4,1.339
"60","2-vs-1","control-single","3",10,0.69733
"60","2-vs-1","control-single","3",13,0.301
"60","2-vs-1","inference","3",2,0.03166
"60","2-vs-1","inference","3",5,0.912
"61","2-vs-1","control-double","4",9,0.34466
"61","2-vs-1","control-single","4",1,0.53433
"61","2-vs-1","control-single","4",4,0.963
"61","2-vs-1","control-single","4",11,0.418
"61","2-vs-1","control-single","4",13,0.688
"61","2-vs-1","inference","4",12,0.65966
"62","2-vs-1","control-single","3",1,0.69266
"62","2-vs-1","control-single","3",4,0.89633
"62","2-vs-1","inference","3",5,0.573
"63","2-vs-1","control-single","3",10,1.089
"63","2-vs-1","control-single","3",16,0.18966
"63","2-vs-1","inference","3",2,0.59833
"63","2-vs-1","inference","3",5,0.612
"64","2-vs-1","control-double","5",9,0.53533
"64","2-vs-1","control-single","5",7,0.568
"64","2-vs-1","control-single","5",10,0.79733
"64","2-vs-1","inference","5",2,1.765
"64","2-vs-1","inference","5",5,0.04533
"64","2-vs-1","inference","5",12,0.96466
"65","2-vs-1","inference","5",12,0.63466
"65","2-vs-1","inference","5",15,1.22266
"66","2-vs-1","control-single","2",4,0.714
"66","2-vs-1","control-single","2",10,0.464
"66","2-vs-1","control-single","2",16,2.60633
"66","2-vs-1","inference","2",2,1.54
"67","2-vs-1","control-double","2",8,0.30933
"67","2-vs-1","control-single","2",1,0.58433
"67","2-vs-1","control-single","2",4,0.67133
"67","2-vs-1","control-single","2",11,1.243
"67","2-vs-1","inference","2",2,0.437
"67","2-vs-1","inference","2",5,0.38966
"68","2-vs-1","control-double","3",9,0.21866
"68","2-vs-1","control-double","3",14,0.51766
"68","2-vs-1","control-single","3",6,0.69966
"68","2-vs-1","control-single","3",11,0.92233
"68","2-vs-1","control-single","3",16,0.43133
"68","2-vs-1","inference","3",5,1.487
"68","2-vs-1","inference","3",15,1.299
"69","2-vs-1","control-single","4",4,0.50566
"69","2-vs-1","control-single","4",6,0.41633
"69","2-vs-1","control-single","4",10,0.39733
"69","2-vs-1","inference","4",5,1.037
"7","2-vs-1","control-double","5",8,0.30933
"7","2-vs-1","control-double","5",14,0.13399
"7","2-vs-1","control-single","5",4,0.288
"7","2-vs-1","control-single","5",10,0.17966
"70","2-vs-1","control-single","2",4,0.59633
"70","2-vs-1","control-single","2",7,0.712
"70","2-vs-1","control-single","2",10,0.363
"70","2-vs-1","control-single","2",11,0.28466
"70","2-vs-1","control-single","2",16,0.415
"70","2-vs-1","inference","2",12,0.22633
"70","2-vs-1","inference","2",15,2.96433
"71","2-vs-1","control-single","5",1,0.183
"71","2-vs-1","control-single","5",4,0.53066
"71","2-vs-1","control-single","5",16,0.68966
"71","2-vs-1","inference","5",2,0.57333
"71","2-vs-1","inference","5",5,0.89533
"71","2-vs-1","inference","5",12,0.898
"72","2-vs-1","control-single","3",1,0.36633
"72","2-vs-1","control-single","3",6,0.358
"72","2-vs-1","control-single","3",7,0.72633
"72","2-vs-1","control-single","3",10,0.84733
"72","2-vs-1","inference","3",2,0.89
"72","2-vs-1","inference","3",5,1.47033
"73","2-vs-1","inference","2",2,0.762
"73","2-vs-1","inference","2",12,1.20966
"74","2-vs-1","control-double","2",8,0.38433
"74","2-vs-1","control-double","2",9,0.503
"74","2-vs-1","control-single","2",16,0.30666
"74","2-vs-1","inference","2",2,2.19533
"74","2-vs-1","inference","2",5,2.48133
"75","2-vs-1","control-single","5",13,0.476
"75","2-vs-1","control-single","5",16,0.15633
"75","2-vs-1","inference","5",5,1.72866
"75","2-vs-1","inference","5",15,0.949
"76","2-vs-1","control-single","3",10,0.513
"76","2-vs-1","inference","3",5,0.68133
"77","2-vs-1","control-single","2",4,0.64633
"77","2-vs-1","control-single","2",7,0.22866
"77","2-vs-1","inference","2",2,0.39533
"78","2-vs-1","control-double","3",9,0.16133
"78","2-vs-1","control-single","3",4,0.75466
"78","2-vs-1","control-single","3",13,0.32966
"78","2-vs-1","inference","3",12,2.30966
"79","2-vs-1","control-double","3",9,0.477
"79","2-vs-1","control-double","3",14,0.45933
"79","2-vs-1","control-single","3",7,0.17633
"79","2-vs-1","control-single","3",16,1.95633
"79","2-vs-1","inference","3",5,0.52033
"79","2-vs-1","inference","3",12,1.03966
"8","2-vs-1","control-single","3",1,0.79133
"8","2-vs-1","control-single","3",6,0.84966
"8","2-vs-1","control-single","3",7,2.10133
"8","2-vs-1","control-single","3",10,0.54733
"8","2-vs-1","inference","3",12,3.448
"80","2-vs-1","control-single","3",4,0.163
"80","2-vs-1","control-single","3",7,0.07033
"80","2-vs-1","control-single","3",10,0.55466
"80","2-vs-1","inference","3",12,3.05133
"81","2-vs-1","inference","4",2,0.83166
"81","2-vs-1","inference","4",5,1.637
"82","2-vs-1","control-single","5",1,0.14966
"82","2-vs-1","control-single","5",16,0.33966
"82","2-vs-1","inference","5",12,1.18133
"82","2-vs-1","inference","5",15,0.36566
"83","2-vs-1","control-single","4",4,0.33066
"83","2-vs-1","inference","4",5,1.27033
"83","2-vs-1","inference","4",12,0.423
"84","2-vs-1","control-double","5",14,0.684
"84","2-vs-1","control-single","5",4,0.34633
"84","2-vs-1","inference","5",2,0.187
"85","2-vs-1","control-double","4",14,0.50099
"85","2-vs-1","control-single","4",6,0.358
"85","2-vs-1","control-single","4",10,0.40566
"85","2-vs-1","control-single","4",13,0.36766
"85","2-vs-1","inference","4",5,0.74533
"85","2-vs-1","inference","4",15,0.65733
"86","2-vs-1","control-single","5",4,0.439
"86","2-vs-1","inference","5",2,0.39833
"86","2-vs-1","inference","5",5,0.82866
"87","2-vs-1","control-double","2",3,0.36666
"87","2-vs-1","control-double","2",14,0.93433
"87","2-vs-1","control-single","2",1,0.24133
"87","2-vs-1","control-single","2",4,0.45566
"87","2-vs-1","control-single","2",10,0.939
"87","2-vs-1","inference","2",12,0.09799
"88","2-vs-1","control-single","4",4,0.34633
"88","2-vs-1","control-single","4",7,0.37033
"88","2-vs-1","control-single","4",10,0.538
"88","2-vs-1","inference","4",2,1.487
"88","2-vs-1","inference","4",5,0.273
"88","2-vs-1","inference","4",12,0.60966
"89","2-vs-1","control-double","4",8,0.81766
"89","2-vs-1","control-single","4",13,0.67133
"89","2-vs-1","inference","4",15,1.606
"9","2-vs-1","control-double","adult",8,0.23433
"9","2-vs-1","control-double","adult",9,0.53633
"9","2-vs-1","control-double","adult",18,1.02233
"9","2-vs-1","control-double","adult",24,0.308
"9","2-vs-1","control-single","adult",1,0.976
"9","2-vs-1","control-single","adult",4,0.70466
"9","2-vs-1","control-single","adult",7,0.137
"9","2-vs-1","control-single","adult",11,0.68466
"9","2-vs-1","control-single","adult",13,0.84633
"9","2-vs-1","control-single","adult",19,0.03633
"9","2-vs-1","control-single","adult",20,0.712
"9","2-vs-1","inference","adult",12,0.60133
"9","2-vs-1","inference","adult",15,0.08933
"90","2-vs-1","control-single","3",1,0.783
"90","2-vs-1","inference","3",2,1.02333
"90","2-vs-1","inference","3",5,1.27866
"91","2-vs-1","control-single","2",1,0.208
"91","2-vs-1","control-single","2",4,1.95566
"91","2-vs-1","control-single","2",10,0.05566
"91","2-vs-1","inference","2",5,0.15366
"92","2-vs-1","control-single","4",1,0.24966
"92","2-vs-1","inference","4",2,1.03166
"92","2-vs-1","inference","4",12,0.66466
"93","2-vs-1","control-single","5",1,0.44266
"93","2-vs-1","control-single","5",7,0.462
"93","2-vs-1","inference","5",12,0.15966
"94","2-vs-1","control-double","4",3,0.2
"94","2-vs-1","control-single","4",4,0.414
"94","2-vs-1","control-single","4",11,0.064
"94","2-vs-1","inference","4",2,0.09833
"95","2-vs-1","control-double","5",8,0.19266
"95","2-vs-1","control-double","5",9,0.33633
"95","2-vs-1","control-double","5",14,0.434
"95","2-vs-1","control-single","5",1,0.66766
"95","2-vs-1","control-single","5",7,0.437
"95","2-vs-1","inference","5",12,0.35133
"95","2-vs-1","inference","5",15,3.38933
"96","2-vs-1","control-single","4",1,0.48433
"96","2-vs-1","control-single","4",4,0.42966
"96","2-vs-1","control-single","4",7,0.50366
"96","2-vs-1","control-single","4",11,0.43466
"96","2-vs-1","control-single","4",16,0.70666
"96","2-vs-1","inference","4",2,0.162
"97","2-vs-1","control-double","5",3,0.75
"97","2-vs-1","control-single","5",1,0.07466
"97","2-vs-1","control-single","5",7,0.418
"97","2-vs-1","control-single","5",13,0.176
"97","2-vs-1","control-single","5",16,0.873
"97","2-vs-1","inference","5",2,0.19
"97","2-vs-1","inference","5",12,0.70633
"98","2-vs-1","control-single","5",4,0.54633
"98","2-vs-1","control-single","5",7,0.287
"98","2-vs-1","control-single","5",11,1.65966
"98","2-vs-1","inference","5",2,0.737
"98","2-vs-1","inference","5",12,0.368
"99","2-vs-1","control-double","5",14,1.65933
"99","2-vs-1","control-single","5",1,0.47466
"99","2-vs-1","control-single","5",7,0.45133
"99","2-vs-1","control-single","5",11,1.54733
"99","2-vs-1","control-single","5",13,0.69266
"99","2-vs-1","control-single","5",16,0.40633
"99","2-vs-1","inference","5",2,0.58166
