subid,keep_drop,expt,age_group,English
140509-11-HIDE-L1.txt,keep,2-HIDE,4,6
140516-01-L2.txt,keep,0,5,5
140516-02-HIDE-L1.txt,keep,2-HIDE,4,5
140516-03-HIDE-L1.txt,keep,2-HIDE,4,4
140516-04-HIDE-L1.txt,keep,2-HIDE,3,4
140516-05-HIDE-L1.txt,keep,2-HIDE,4,6
140626-01-L1.txt,keep,0,4,5
140626-02-L2.txt,keep,0,5,4
140626-03-L2.txt,keep,0,4,4
140626-04-L1.txt,keep,0,6,4
140628-01-L1.txt,keep,0,5,2
140628-02-L1-P.txt,keep,proskidpilot,3,5
140628-03-L1-P.txt,keep,proskidpilot,NA,3
140628-04-L1-P.txt,keep,proskidpilot,NA,5
140628-05-L1-P.txt,keep,proskidpilot,4,6
140628-06-L1-P.txt,keep,proskidpilot,4,3
140628-07-L1.txt,keep,0,5,6
140628-08-L1-P.txt,keep,proskidpilot,4,5
140628-09-L1-P.txt,keep,proskidpilot,4,5
140628-10-L1-P.txt,keep,proskidpilot,5,5
140628-11-L1-P.txt,keep,proskidpilot,3,3
140628-12-L1-P.txt,keep,proskidpilot,3,3
140628-13-L1-P.txt,keep,proskidpilot,4,5
140628-14-L1-P.txt,keep,proskidpilot,4,6
140628-15-L1-P.txt,keep,proskidpilot,3,3
140701-01-L1-P.txt,keep,proskid,4,5
140701-02-L1.txt,keep,0,5,6
140701-03-L1-P.txt,keep,proskid,4,5
140701-04-L1-P.txt,keep,proskid,3,4
140701-05-L1-P.txt,keep,proskid,3,4
140701-06-L1-P.txt,keep,proskid,4,5
140701-07-L1-P.txt,keep,proskid,3,6
140701-08-L2.txt,keep,0,5,5
140701-09-L1-P.txt,keep,proskid,3,5
140701-10-L1-P.txt,keep,proskid,4,4
140701-11-L1-P.txt,keep,proskid,3,6
140701-12-L1-P.txt,keep,proskid,5,6
140701-13-L1-P.txt,keep,proskid,3,6
140701-14-L1-P.txt,keep,proskid,4,6
140701-15-L1-P.txt,keep,proskid,6,6
140701-16-L1.txt,keep,0,5,6
140701-17-L1-P.txt,keep,proskid,5,6
140702-01-L1-P.txt,keep,proskid,4,5
140702-02-L1-P.txt,keep,proskid,3,6
140702-03-L1.txt,keep,0,5,6
140702-04-L1-P.txt,keep,proskid,4,6
140702-05-L1-P.txt,keep,proskid,4,5
140702-06-L1-P.txt,keep,proskid,3,6
140702-07-L1-P.txt,keep,proskid,3,6
140702-08-L1-P.txt,keep,proskid,3,6
140702-09-L2.txt,keep,0,5,6
140702-10-L1-P.txt,keep,proskid,3,5
140702-11-L1-P.txt,drop,proskid,NA,NA
140702-12-L1-P.txt,keep,proskid,3,NA
140702-13-L1.txt,keep,0,5,5
140707-01-L1.txt,keep,0,5,5
140707-02-L1-P.txt,keep,proskid,4,6
140707-03-L1-P.txt,keep,proskid,4,6
140707-04-L2-P.txt,keep,proskid,4,6
140707-05-L1-P.txt,keep,proskid,3,5
140707-06-L2-P.txt,keep,proskid,3,6
140707-07-L2.txt,keep,0,5,5
140707-08-L1-P.txt,keep,proskid,4,5
140707-09-L1.txt,drop,0,NA,NA
140707-10-L1.txt,keep,0,5,6
140707-11-L1-P.txt,keep,proskid,4,4
140707-12-L2-P.txt,drop,proskid,NA,NA
140707-13-L1-P.txt,drop ,proskid,NA,NA
140709-03-L2-P.txt,keep,proskid,4,6
140709-04-L2-P.txt,keep,proskid,4,6
140709-05-L2-P.txt,drop,NA,NA,NA
140709-06-L2.txt,drop,0,5,6
140709-07-L1-P.txt,drop,proskid,4,5
140709-08-L1-P.txt,drop,proskid,3,6
140712-01-L2-P.txt,keep,proskid,4,5
140712-02-L2-P.txt,keep,proskid,4,5
140712-03-L2-P.txt,keep,proskid,3,6
140712-04-L2-P.txt,keep,proskid,4,6
140712-05-L2-P.txt,keep,proskid,3,6
140712-06-L2-P.txt,keep,proskid,3,4
140712-07-L2-P.txt,keep,proskid,4,6
140712-08-L2.txt,keep,0,5,6
140712-09-L2-P.txt,keep,proskid,4,3
140712-10-L2-P.txt,drop,proskid,3,5
140714-01-L2-P.txt,keep,proskid,3,6
140714-02-L2-P.txt,keep,proskid,3,4
140714-03-L2-P.txt,keep,proskid,3,3
140714-04-L2-P.txt,drop,proskid,3,6
140714-05-L2.txt,keep,0,5,4
140714-06-L2-P.txt,keep,proskid,4,5
140714-07-L2.txt,keep,0,5,6
140714-08-L2.txt,keep,0,5,6
140716-01-L2-P.txt,keep,proskid,4,3
140716-02-L2-P.txt,keep,proskid,4,5
140716-03-L2-P.txt,keep,proskid,5,5
140716-04-L2-P.txt,keep,proskid,4,6
140716-05-L2-P.txt,drop,proskid,4,3
140716-06-L2-P.txt,keep,proskid,3,6
140716-07-L2.txt,keep,0,5,6
140716-08-L2-P.txt,keep,proskid,4,6
140716-09-L2-P.txt,keep,proskid,4,6
140716-10-L2.txt,keep,0,5,6
140716-11-L2-P.txt,keep,proskid,4,5
140716-12-L1.txt,keep,0,5,6
140716-13-L2.txt,keep,0,5,6
140716-14-L2-P.txt,keep,proskid,3,6
140721-01-L2-P.txt,drop,proskid,4,5
140721-02-L2.txt,keep,0,5,6
140721-03-L2.txt,keep,0,5,6
140721-04-L2-P.txt,keep,proskid,4,6
140721-05-L2-P.txt,keep,proskid,3,6
140721-06-L2.txt,drop,0,NA,NA
140721-07-L2.txt,keep,0,5,6
140721-08-L2-P.txt,drop,proskid,4,3
140726-01-L1-P.txt,keep,proskid,3,3
140726-02-L1-P.txt,keep,proskid,4,6
140726-03-L1-P.txt,keep,proskid,3,5
140726-04-L2-P.txt,keep,proskid,3,4
140726-05-L2-P.txt,keep,proskid,4,6
140726-06-L1.txt,keep,0,5,6
140726-07-L2-P.txt,keep,proskid,4,6
140726-08-L2-P.txt,drop,proskid,NA,NA
141010-01-L1-SC.txt,keep,sc,5,5
141010-02-L1-SC.txt,keep,sc,2,5
141010-03-L1-SC.txt,keep,sc,5,6
141010-04-L1-SC.txt,keep,sc,5,5
141010-05-L1-SC.txt,keep,sc,4,5
141010-06-L1-SC.txt,keep,sc,4,3
141010-07-L1-SC.txt,keep,sc,4,4
141010-08-L1-SC.txt,keep,sc,5,6
141010-09-L1-SC.txt,keep,sc,2,5
140811-02-L1-SC.txt,keep,sc,2,6
140811-03-L1-SC.txt,keep,sc,2,6
140811-06-L1-SC.txt,keep,sc,5,6
140811-07-L1-SC.txt,keep,sc,5,5
140811-08-L1-SC.txt,keep,sc,5,6
140811-09-L1-SC.txt,drop,sc,NA,NA
140813-06-L1-SC.txt,keep,sc,2,5
140808-01-SC-L1.txt,keep,sc,adult,NA
140808-02-SC-L1.txt,keep,sc,adult,NA
140808-03-SC-L1.txt,keep,sc,adult,NA
140808-04-SC-L1.txt,keep,sc,adult,NA
140808-05-SC-L1.txt,keep,sc,adult,NA
141017-01-L1-SC.txt,keep,sc,3,6
