subid,keep_drop,expt,age,age_group,sex,English
140502-19-L1.txt,keep,0,2.1,2,M,6
140502-20-L2.txt,keep,0,2.3,2,M,6
140502-21-L1.txt,keep,0,4.4,4,F,6
140502-22-L1.txt,keep,0,5.2,5,M,6
140509-01-L1.txt,keep,0,2.7,2,F,6
140509-03-L2.txt,keep,0,4.8,4,F,5
140509-04-L2.txt,keep,0,5,4,F,4
140509-05-L1.txt,keep,0,3.9,3,F,6
140509-06-L1.txt,keep,0,2.9,2,M,6
140509-08-L1.txt,keep,0,4.8,4,F,6
140516-01-L2.txt,keep,0,5.2,5,F,5
140626-01-L1.txt,keep,0,4.6,4,M,5
140626-02-L2.txt,keep,0,5.9,5,M,4
140626-03-L2.txt,keep,0,4.3,4,M,4
140626-04-L1.txt,keep,0,6.5,6,F,4
140628-01-L1.txt,keep,0,5.6,5,M,2
140628-07-L1.txt,keep,0,5.8,5,F,6
140701-02-L1.txt,keep,0,5.5,5,M,6
140701-08-L2.txt,keep,0,5.2,5,F,5
140701-16-L1.txt,keep,0,5.8,5,F,6
140702-03-L1.txt,keep,0,5.3,5,M,6
140702-09-L2.txt,keep,0,5.6,5,F,6
140702-13-L1.txt,keep,0,5.1,5,M,5
140707-01-L1.txt,keep,0,5.7,5,M,5
140707-07-L2.txt,keep,0,5.2,5,F,5
140707-10-L1.txt,keep,0,5.1,5,M,6
140712-08-L2.txt,keep,0,5.4,5,F,6
140714-05-L2.txt,keep,0,5.3,5,M,4
140714-07-L2.txt,keep,0,5.9,5,M,6
140714-08-L2.txt,keep,0,5.96,5,M,6
140716-07-L2.txt,keep,0,5.2,5,F,6
140716-10-L2.txt,keep,0,5.4,5,M,6
140716-12-L1.txt,keep,0,5.1,5,M,6
140716-13-L2.txt,keep,0,5.1,5,M,6
140721-02-L2.txt,keep,0,5,5,M,6
140721-03-L2.txt,keep,0,5,5,F,6
140721-07-L2.txt,keep,0,5.6,5,F,6
140726-06-L1.txt,keep,0,5.6,5,M,6
150413-14-L2.txt,keep,0,2.8,2,M,1
150811-01.txt,keep,0,4.1,4,M,6
150811-02.txt,keep,0,4.66,4,M,6
150813-01.txt,keep,0,2.58,2,M,6
150813-02.txt,keep,0,3.86,3,F,6
150814-03.txt,keep,0,5.9,5,F,4
150814-04.txt,keep,0,3.28,3,M,4
150814-05.txt,keep,0,2.81,2,M,5
150814-06.txt,keep,0,4.79,4,F,5
150814-07.txt,keep,0,4.16,4,M,3
150814-08.txt,keep,0,4.49,4,M,5
150814-09.txt,keep,0,NA,NA,NA,NA
150814-10.txt,keep,0,2.54,2,M,3
150818-01.txt,keep,0,4.29,4,F,4
150818-02.txt,keep,0,3.79,3,F,4
150818-03.txt,keep,0,3.92,3,M,6
150818-04.txt,keep,0,5.75,5,F,6
150818-05.txt,keep,0,3.88,3,F,5
150818-06.txt,keep,0,4.11,4,M,
150818-07.txt,keep,0,2.56,2,M,4
150818-08.txt,keep,0,2.65,2,M,5
140811-09-L1-SC.txt,drop,scale,NA,NA,NA,NA
150109-12-sc.txt,drop,scale,NA,NA,NA,NA
150413-04-sc-L2.txt,drop,scale,NA,NA,NA,NA
150710-sc-06.txt,DROP,scale,NA,NA,NA,NA
150731-sc-04.txt,drop,scale,NA,,NA,NA
140808-01-SC-L1.txt,keep,scale,adult,adult,M,NA
140808-02-SC-L1.txt,keep,scale,adult,adult,M,NA
140808-03-SC-L1.txt,keep,scale,adult,adult,M,NA
140808-04-SC-L1.txt,keep,scale,adult,adult,M,NA
