subid,age_group,trial_type,item_num,correct,rt
141209-03-sc,3,control_single,1vs1,1,2294
141209-03-sc,3,inference,3vs1,1,3974
141209-03-sc,3,control_single,1vs1,1,1330
141209-03-sc,3,control_double,2vs1,1,2560
141209-03-sc,3,inference,3vs1,1,1929
141209-03-sc,3,control_single,1vs1,1,1400
141209-04-sc,5,practice,NA,1,2382
141209-04-sc,5,practice,NA,1,1536
141209-04-sc,5,control_single,2vs2,1,2325
141209-04-sc,5,inference,3vs1,1,1825
141209-04-sc,5,control_double,3vs1,1,3153
141209-04-sc,5,control_single,1vs1,1,1545
141209-04-sc,5,inference,3vs1,1,1200
141209-04-sc,5,control_single,1vs1,1,1522
141209-04-sc,5,control_single,2vs2,1,1776
141209-04-sc,5,control_double,2vs1,1,1602
141209-04-sc,5,control_double,3vs1,1,1137
141209-04-sc,5,control_single,1vs1,1,1416
141209-04-sc,5,control_single,2vs2,1,1521
141209-04-sc,5,inference,2vs1,1,1391
141209-04-sc,5,control_single,1vs1,1,1776
141209-04-sc,5,control_double,2vs1,1,1323
141209-05-sc,4,practice,NA,1,3078
141209-05-sc,4,practice,NA,1,1640
141209-05-sc,4,control_single,2vs2,1,1456
141209-05-sc,4,inference,2vs1,1,2145
141209-05-sc,4,control_double,3vs1,1,1577
141209-05-sc,4,control_single,2vs2,1,1519
141209-05-sc,4,inference,2vs1,1,1782
141209-05-sc,4,control_single,2vs2,1,1350
141209-05-sc,4,control_single,2vs2,1,1509
141209-05-sc,4,control_double,2vs1,1,1898
141209-05-sc,4,control_double,3vs1,1,2229
141209-05-sc,4,control_single,1vs1,1,1540
141209-05-sc,4,control_single,1vs1,1,1252
141209-05-sc,4,inference,3vs1,1,1563
141209-05-sc,4,control_single,1vs1,1,1681
141209-05-sc,4,control_double,2vs1,1,1500
141209-05-sc,4,inference,3vs1,1,1613
141209-05-sc,4,control_single,1vs1,1,1835
141209-06-sc,3,practice,NA,1,2414
141209-06-sc,3,practice,NA,1,2215
141209-06-sc,3,control_single,2vs2,1,2286
141209-06-sc,3,inference,2vs1,1,1705
141209-06-sc,3,control_double,3vs1,1,2938
141209-06-sc,3,control_single,2vs2,1,1732
141209-06-sc,3,inference,2vs1,1,3608
141209-06-sc,3,control_single,2vs2,1,2066
141209-06-sc,3,control_single,2vs2,1,2058
141209-06-sc,3,control_double,2vs1,1,1434
141209-06-sc,3,control_double,3vs1,1,2225
141209-06-sc,3,control_single,1vs1,1,1627
141209-06-sc,3,control_single,1vs1,1,1773
141209-06-sc,3,inference,3vs1,1,1702
141209-06-sc,3,control_single,1vs1,1,4194
141209-06-sc,3,control_double,2vs1,1,1776
141209-06-sc,3,inference,3vs1,1,3611
141209-06-sc,3,control_single,1vs1,1,2542
141209-07-sc,NA,practice,NA,1,7438
141209-07-sc,NA,practice,NA,1,12108
141209-07-sc,NA,control_single,2vs2,1,4711
141209-07-sc,NA,inference,3vs1,0,4836
141209-07-sc,NA,control_double,3vs1,0,3516
141209-07-sc,NA,control_single,1vs1,0,6480
141209-07-sc,NA,inference,3vs1,1,3892
141209-07-sc,NA,control_single,1vs1,1,1931
141209-07-sc,NA,control_single,2vs2,1,3954
141209-07-sc,NA,control_double,2vs1,1,3624
141209-07-sc,NA,control_double,3vs1,1,2141
141209-07-sc,NA,control_single,1vs1,1,1638
141209-07-sc,NA,control_single,2vs2,1,1551
141209-07-sc,NA,inference,2vs1,1,3701
141209-07-sc,NA,control_single,1vs1,1,1285
141209-07-sc,NA,control_double,2vs1,1,6407
141209-07-sc,NA,inference,2vs1,1,1278
